name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,6-Dec-80,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,9-Feb-88,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,27-Oct-89,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,21-Nov-86,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2
Art Arciniega,"5' 8""",145 lbs.,,,15-Oct-81,1.53,0.46,2.73,0.51,0,0,0.5,1
Tristan Arenal,,155 lbs.,,,,0,0,0,0,0,0,0,0
Joey Armstrong,,,,,,0,0,0,0,0,0,0,0
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,4-Feb-79,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,14-Jan-83,2.32,0.45,4.01,0.56,1.07,1,0.33,0.4
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,17-Jul-78,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,28-May-75,1.56,0.34,1.63,0.56,3.05,0.75,0.37,1
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,22-Oct-91,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,1-Sep-82,1.62,0.47,2.01,0.58,2.12,0.36,1,5.3
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,1-Jul-89,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,0.06,0.1,2.45,0.32,0,0,0,0
Veta Arteaga,"5' 7""",125 lbs.,,,,3.2,0.36,1.92,0.65,0,0,0.4,0
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,27-Dec-89,7.27,0.61,6.8,0.28,0,0,1,0
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,31-Jan-91,5.37,0.45,5.2,0.56,7.32,0.75,0,2.4
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,19-Aug-94,0,0,0,0,0,0,0,0
Arman Ashimov,"5' 6""",125 lbs.,,,14-Jan-92,0,0,0,0,0,0,0,0
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,9-Oct-92,3.37,0.55,2.65,0.56,2.75,0.28,0.64,0
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,24-Dec-85,3.35,0.39,5.82,0.35,4.41,0.62,1,0.9
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,20-May-88,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,18-Jul-84,3.64,0.49,5.66,0.36,4.33,0.55,0,0.9
Ibo Aslan,"6' 3""",205 lbs.,,,23-Apr-96,0,0,0,0,0,0,0,0
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,11-Apr-93,7.43,0.66,3.06,0.65,3.54,1,0,1.8
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,23-May-92,1.27,0.43,3.2,0.36,2,0.5,0.66,1
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,24-Jun-81,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,19-Jul-82,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,0.87,0.41,3.14,0.49,1,0.33,0,0
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,16-Jun-77,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,16-Apr-86,1.17,0.12,4.31,0.41,0.8,0.5,0,0
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,23-Feb-89,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5
Jose Augusto,"6' 3""",251 lbs.,,,28-Mar-92,0,0,0,0,0,0,0,0
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,18-Aug-73,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
David Avellan,"5' 9""",185 lbs.,,Orthodox,,3.33,0.25,10,0.57,0,0,0,0
Levi Avera,"6' 1""",170 lbs.,,,17-May-82,0,0,0,0,0,0,0,0
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,30-Jun-83,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
Anthony Avila,"5' 7""",145 lbs.,,,29-Dec-88,0,0,0,0,0,0,0,0
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,11-May-88,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0
Chris Avila,"5' 10""",145 lbs.,,Orthodox,16-Jan-93,2.37,0.3,4.17,0.48,0,0,0.46,0
Saad Awad,"5' 11""",155 lbs.,,,7-Jun-83,2.13,0.26,1.87,0.6,0.5,0.16,1,0.5
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,10-Mar-86,3.2,0.37,1.27,0.57,1,1,0.25,0
Javy Ayala,"6' 1""",265 lbs.,,,20-Aug-88,0.83,0.25,5,0.33,0,0,0,0
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,31-May-92,3.53,0.37,3.59,0.58,0,0,0.5,0.3
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,10-Jun-76,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,20-Feb-90,8.43,0.57,1.76,0.67,0,0,1,0
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,25-Jun-81,0.76,0.45,1.97,0.27,2.28,0.11,0,0
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,2-Mar-92,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,22-Aug-89,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,11-Jul-91,3.74,0.71,4.9,0.32,1.75,0.12,1,0
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,23-Aug-92,4.64,0.55,3.89,0.5,0.8,0.4,1,1.2
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,10-Jun-85,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,26-Oct-81,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,7-Jun-83,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,13-Apr-85,3.13,0.3,4.56,0.46,0,0,0.33,0
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,28-Jan-92,6.8,0.64,3.8,0.53,0,0,0.75,0
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,17-Apr-84,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3
Ignacio Bahamondes,"6' 3""",170 lbs.,"75""",Orthodox,27-Aug-97,8.78,0.54,2.66,0.67,0,0,1,0
Stephen Banaszak,"6' 0""",145 lbs.,,,7-Dec-90,4.2,0.47,1.15,0.66,0,0,1,1.9
Jordan Bailey,"5' 9""",145 lbs.,,,,1.74,0.4,0.29,0,4.35,1,0,4.3
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,13-Oct-85,1.78,0.52,2.83,0.45,0.44,0.5,0.37,0.9
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,4-Aug-87,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,22-Sep-82,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0
Scott Baker,"6' 0""",210 lbs.,,,,0,0,0,0,0,0,0,0
