name,height,weight,reach,stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Andre Santos,"6' 0""",170 lbs.,,,,2.77,0.34,4.17,0.41,2.5,0.29,0.75,0
Gleristone Santos,"5' 9""",145 lbs.,,,20-Aug-88,3.4,0.31,4.4,0.64,0,0,0.75,0
Taila Santos,"5' 6""",125 lbs.,"68""",Orthodox,22-Jun-93,3.52,0.48,2.22,0.59,2,0.8,0.85,1
Marilia Santos,"5' 4""",125 lbs.,,Orthodox,12-Dec-92,4.4,0.54,4.07,0.53,1,1,0.66,1
Nick Sanzo,"5' 9""",190 lbs.,,,,0,0,0,0,0,0,0,0
Bob Sapp,"6' 5""",350 lbs.,,Orthodox,22-Sep-74,3.19,0.55,1.88,0.49,0.58,1,0.72,0
Diego Saraiva,"5' 6""",155 lbs.,,Orthodox,23-Apr-82,1.64,0.32,3.58,0.62,1.33,0.4,0,0.7
Daniel Sarafian,"5' 9""",185 lbs.,"73""",Orthodox,21-Aug-82,2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7
Harris Sarmiento,"5' 9""",155 lbs.,,Orthodox,9-Sep-83,0.84,0.25,3.46,0.36,2.36,0.6,0.57,0
Alexander Sarnavskiy,"5' 11""",155 lbs.,,,17-Jan-89,1.43,0.66,2.06,0.42,0,0,0.75,0
Yuki Sasaki,"6' 2""",185 lbs.,,Orthodox,12-Sep-76,1.09,0.43,1.2,0.57,0.43,1,0.66,0
Kyosuke Sasaki,"5' 7""",183 lbs.,,Southpaw,,0.33,0.45,0.93,0.46,0,0,0,0
Yuta Sasaki,"5' 10""",125 lbs.,"71""",Southpaw,7-Oct-89,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2
Paul Sass,"6' 0""",155 lbs.,"73""",Orthodox,4-Aug-88,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4
Masaaki Satake,"6' 1""",220 lbs.,,Orthodox,17-Aug-65,1.4,0.35,3.76,0.41,0,0,0.58,0
Takenori Sato,"5' 10""",170 lbs.,,Southpaw,8-Jun-85,0.46,0.33,12.92,0.09,0,0,0,0
Takashi Sato,"5' 10""",170 lbs.,"73""",Southpaw,9-Jun-90,3.16,0.37,4.81,0.5,0.53,0.5,0.75,0
Tom Sauer,"6' 1""",263 lbs.,,,11-Nov-70,0,0,0,0,0,0,0,0
Jeimeson Saudino,"5' 6""",135 lbs.,,,5-Mar-91,0.66,0.3,0.82,0.84,2.47,0.5,0,2.5
Townsend Saunders,"5' 5""",170 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,13-Apr-83,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3
Chris Saunders,"5' 8""",155 lbs.,,,11-Mar-86,1.48,0.22,2.96,0.75,3.7,1,0,0
Chad W. Saunders,"5' 10""",170 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Lumumba Sayers,"6' 0""",185 lbs.,,,30-Jun-78,2.54,0.41,2.37,0.48,7.63,0.75,0,2.5
Matt Sayles,"5' 7""",145 lbs.,"68""",Orthodox,21-Feb-94,5.44,0.42,3.13,0.61,0,0,0.81,0.4
Brandon Sayles,"6' 5""",265 lbs.,,,23-Apr-81,0,0,0,0,0,0,0,0
Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,,2.2,0.35,3.33,0.48,3,0.75,0.25,2
Eric Schafer,"6' 3""",185 lbs.,"76""",Orthodox,20-Sep-77,1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8
Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,18-Mar-83,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4
Kerry Schall,"6' 2""",265 lbs.,,Orthodox,9-Aug-71,0.94,0.11,4.84,0.63,0,0,0,0
Eric Schambari,"5' 11""",185 lbs.,,Orthodox,22-Apr-78,1.43,0.42,1.07,0.54,3,0.42,0,1
Matheus Scheffel,"6' 2""",205 lbs.,,,11-Apr-92,0,0,0,0,0,0,0,0
Antonio Schembri,"5' 9""",205 lbs.,,Orthodox,1-Jun-74,0.72,0.26,2.12,0.55,1.31,0.4,0,0.4
Fabiano Scherner,"6' 3""",257 lbs.,,Orthodox,30-Jun-72,1.31,0.31,3.2,0.38,1.09,0.33,0.4,0
Joe Schilling,"6' 3""",185 lbs.,,,,2.84,0.52,2.64,0.48,0,0,0.44,0
Samy Schiavo,"5' 8""",155 lbs.,,Orthodox,24-Dec-75,1.68,0.34,2.62,0.38,0.94,0.5,0.66,0.9
Semmy Schilt,"6' 10""",265 lbs.,,Orthodox,27-Oct-73,1.2,0.5,1.31,0.53,0,0,0.47,1.1
Adam Schindler,"5' 8""",155 lbs.,,,19-May-83,0,0,0,0,0,0,0,0
Daniel Schmitt,,185 lbs.,,,,0,0,0,0,0,0,0,0
Colleen Schneider,,135 lbs.,,,,2.17,0.48,2.5,0.5,2.5,0.5,0.6,0
Matt Schnell,"5' 8""",125 lbs.,"70""",Orthodox,15-Jan-90,4.2,0.36,4.02,0.62,0.48,0.33,0.53,1.2
Darrill Schoonover,"6' 2""",220 lbs.,,Orthodox,18-Jul-85,1.2,0.33,4.35,0.38,0,0,0.5,1.1
Alex Schoenauer,"6' 3""",185 lbs.,,Orthodox,5-May-76,1.22,0.4,2.27,0.42,0,0,0.22,4.9
Bob Schrijber,"6' 0""",240 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Nate Schroeder,"6' 1""",230 lbs.,,,,0,0,0,0,0,0,0,0
Lacey Schuckman,"5' 3""",125 lbs.,,,,0,0,0,0,0,0,0,0
Mark Schultz,"5' 9""",200 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Brian Schwartz,"6' 3""",170 lbs.,,Orthodox,,1.27,0.44,0.87,0.45,0,0,0.5,1
Eric Schwartz,,205 lbs.,,,,0,0,0,0,0,0,0,0
Justin Scoggins,"5' 7""",125 lbs.,"66""",Southpaw,2-May-92,3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5
Pat Schilling,"5' 8""",145 lbs.,,Orthodox,28-Aug-88,1.87,0.26,8.24,0.52,0,0,0,0
Brad Scott,"6' 1""",170 lbs.,"76""",Orthodox,24-Jun-89,3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7
Mike Seal,"6' 4""",185 lbs.,,Orthodox,,5.5,0.68,3.33,0.5,0,0,0.33,0
Greg Scott,"5' 9""",145 lbs.,,,,3.9,0.55,7.79,0.37,11.69,1,0,0
Kenneth Seegrist,"6' 0""",185 lbs.,,Orthodox,,3.21,0.66,1.28,0,0,0,0.4,14.4
Rony Sefo,"5' 9""",225 lbs.,,Orthodox,,0,0,0.43,0,0,0,0,0
Matt Secor,"6' 0""",170 lbs.,,,26-Sep-86,0.51,0.2,0.81,0.5,3.03,1,0,3
Neil Seery,"5' 4""",125 lbs.,"64""",Orthodox,30-Aug-79,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6
Ray Sefo,"6' 0""",240 lbs.,,Orthodox,15-Feb-71,0.86,0.31,1.71,0.72,0,0,0.66,0
Brendan Seguin,"6' 0""",185 lbs.,,,3-Jul-76,2.6,0.45,0.6,0.84,5,0.62,1,0
Stefan Sekulic,"6' 0""",170 lbs.,"75""",Southpaw,12-Feb-92,1.47,0.37,2.4,0.57,1,0.2,0.33,0
Pete Sell,"5' 11""",170 lbs.,"75""",Orthodox,5-Aug-82,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9
Andrei Semenov,"6' 0""",185 lbs.,,Orthodox,17-Jun-77,0.78,0.15,2.44,0.6,1.74,0.8,0.55,0.4
Brandon Sene,"5' 11""",205 lbs.,,,21-May-81,0,0,0,0,0,0,0,0
Matthew Semelsberger,"6' 1""",170 lbs.,"75""",Switch,23-Nov-92,7.93,0.5,5.31,0.56,1.97,1,1,1
Kim In Seok,"5' 6""",145 lbs.,,Orthodox,,0.87,0.37,5.19,0.6,0,0,0,0
Mackens Semerzier,"5' 9""",145 lbs.,"72""",Orthodox,3-Nov-80,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1
Ray Seraille,"6' 3""",246 lbs.,,,,5.29,0.27,17.65,0.41,0,0,0,0
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,24-May-80,4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8
Ivan Serati,"6' 0""",205 lbs.,,Orthodox,,0.86,0.26,5.33,0.29,0,0,0,0
Nicholas Sergiacomi,,170 lbs.,,,,4.38,0.55,3.94,0.59,0,0,0,0
Adrian Serrano,"5' 8""",170 lbs.,,,23-Dec-63,0,0,0,0,0,0,0,0
Nick Serra,"5' 9""",170 lbs.,,Orthodox,27-Mar-78,0,0,1.73,0.43,1,0.1,0,2
Fredy Serrano,"5' 3""",125 lbs.,"65""",Orthodox,22-Sep-79,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0
Carl Seumanutafa,"6' 1""",255 lbs.,,Orthodox,,0,0,3.33,0.75,0,0,0,0
Matt Serra,"5' 6""",170 lbs.,"68""",Orthodox,2-Jun-74,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
Scott Shaffer,"5' 7""",145 lbs.,,Orthodox,,2.4,0.67,0.53,0.5,0,0,0.72,3
Dan Severn,"6' 2""",250 lbs.,,Southpaw,8-Jun-58,0,0,0,0,0,0,0,0
Rosi Sexton,"5' 3""",135 lbs.,,Orthodox,16-Jul-77,3.31,0.39,7.42,0.41,0.75,0.1,0.8,0
Leon Shahbazyan,"6' 4""",170 lbs.,"74""",Orthodox,18-Nov-95,6.33,0.52,8.18,0.32,1.46,0.5,0,0
Edmen Shahbazyan,"6' 2""",185 lbs.,"74""",Orthodox,20-Nov-97,3.85,0.51,4.31,0.49,4.44,0.4,0.58,0.5
Liliya Shakirova,"5' 4""",125 lbs.,"65""",Orthodox,24-Oct-91,2.7,0.3,2.58,0.74,0,0,0,0
Kamal Shalorus,"5' 8""",155 lbs.,"68""",Orthodox,27-Aug-72,3.06,0.32,2.99,0.7,2.07,0.5,0.8,0
Ken Shamrock,"6' 1""",205 lbs.,"72""",Orthodox,11-Feb-64,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5
Frank Shamrock,"5' 10""",185 lbs.,,Orthodox,8-Dec-72,4.75,0.53,4.66,0.57,0.35,0.5,0.37,1.1
Eric Shelton,"5' 6""",125 lbs.,"68""",Orthodox,2-Feb-91,2.57,0.42,1.88,0.63,2.83,0.51,0.46,0.2
Jason Sharp,,205 lbs.,,,,0,0,0,0,0,0,0,0
Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,16-Nov-89,6.02,0.45,5.55,0.52,0,0,0.77,0
Sean Sherk,"5' 6""",155 lbs.,"67""",Orthodox,5-Aug-73,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4
Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,20-Nov-84,4.09,0.56,2.51,0.54,0.65,0.6,0.56,0.7
Henrique Shiguemoto,"5' 11""",185 lbs.,"72""",Orthodox,22-Jun-89,3.6,0.33,6,0.16,0,0,0.5,0
Valentina Shevchenko,"5' 5""",125 lbs.,"66""",Southpaw,7-Mar-88,2.98,0.5,2.03,0.62,2.21,0.58,0.75,0.3
Shunichi Shimizu,"5' 5""",135 lbs.,,Orthodox,31-Jan-85,0.14,0.33,4.68,0.3,0,0,0,0
Jake Shields,"6' 0""",170 lbs.,"72""",Orthodox,9-Jan-79,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2
Wade Shipp,"6' 3""",245 lbs.,,Orthodox,9-Feb-75,4.29,0.86,2.14,0,0,0,0.75,0
Raja Shippen,"5' 6""",145 lbs.,,,7-Oct-86,0,0,0,0,0,0,0,0
Yuya Shirai,"5' 8""",168 lbs.,,Orthodox,2-Apr-80,1.02,1,4.07,0.55,0,0,0,0
Wes Shivers,"6' 8""",,,,,0,0,0,0,0,0,0,0
Alexander Shlemenko,"5' 11""",185 lbs.,,,20-May-84,4.36,0.6,1.71,0.63,0,0,0,0
Josh Shockley,"6' 1""",155 lbs.,,Orthodox,15-Nov-89,1.4,0.33,1.75,0.6,0,0,0.61,0.8
Josh Shockman,"6' 4""",235 lbs.,,Southpaw,29-Dec-80,0.87,0.32,0.87,0.58,0,0,0.23,0
Jack Shore,"5' 8""",135 lbs.,"71""",Orthodox,6-Feb-95,3.69,0.54,0.59,0.76,5.16,0.46,0,1.5
Akira Shoji,"5' 8""",195 lbs.,,Orthodox,31-Jan-74,1.03,0.34,2.63,0.53,1.79,0.73,0.82,0.4
Landon Showalter,"6' 0""",185 lbs.,,,14-Jun-76,0,0,0,0,0,0,0,0
Katsuyori Shibata,"6' 0""",168 lbs.,,Orthodox,17-Nov-79,2.06,0.35,2.4,0.53,0.49,0.5,0.53,0.7
Brandon Shuey,"5' 7""",155 lbs.,,Orthodox,1-Feb-76,0.68,0.33,1.36,0,0,0,0,10.2
Ivan Shtyrkov,"6' 0""",205 lbs.,"74""",Orthodox,9-Jun-88,0,0,0,0,0,0,0,0
Kiril Sidelnikov,"5' 11""",230 lbs.,,,17-Aug-88,2.87,0.28,4.48,0.61,0,0,0,0
Sam Sicilia,"5' 8""",145 lbs.,"67""",Orthodox,1-Feb-86,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
Steven Siler,"5' 11""",145 lbs.,"70""",Orthodox,15-Feb-87,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6
Siala Siliga,"6' 1""",290 lbs.,,Orthodox,8-Oct-70,1.08,0.26,1.96,0.5,1.47,0.5,0.8,0
Assuerio Silva,"5' 10""",241 lbs.,,Orthodox,18-Jun-74,1.42,0.46,4.2,0.54,2.66,0.34,0.25,1.8
Xavier Siller,"5' 5""",125 lbs.,,,6-Jun-94,1.02,0.36,1.53,0.57,3.83,1,0,0
Thiago Silva,"6' 2""",205 lbs.,"74""",Orthodox,12-Nov-82,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7
Jean Silva,"5' 6""",160 lbs.,,Orthodox,8-Oct-77,0.73,0.22,2.93,0.52,0,0,0,0
Paulo Cesar Silva,"7' 5""",385 lbs.,,Orthodox,21-Jul-63,0.4,0.15,2.72,0.47,0.42,1,0.16,0.4
Edson Silva,,205 lbs.,,Orthodox,,2.69,0.14,5.37,0.5,0,0,0,0
Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,14-Apr-75,3.05,0.61,2.05,0.6,0.5,0.77,0.69,0.8
Wanderlei Silva,"5' 11""",205 lbs.,"74""",Orthodox,3-Jul-76,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6
Sidney Silva,"6' 3""",170 lbs.,,Southpaw,27-Feb-72,2.86,0.65,3.3,0.34,3.3,1,0,0
Jay Silva,"6' 2""",185 lbs.,,Southpaw,,1.13,0.34,3.07,0.4,0,0,0.38,1
Fabio Silva,"5' 11""",205 lbs.,,Orthodox,31-Mar-82,0.09,0.11,5.9,0.38,0,0,0,0
Leandro Silva,"5' 9""",155 lbs.,"72""",Orthodox,11-Nov-85,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4
Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,6-Sep-82,3.14,0.42,3.12,0.43,3.01,0.28,0.66,1.6
Wagner Silva,"6' 0""",170 lbs.,,Orthodox,7-Feb-87,1.69,0.29,2.87,0.65,0,0,0.58,0
Antonio Silva,"6' 4""",264 lbs.,"82""",Orthodox,14-Sep-79,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8
Erick Silva,"6' 0""",170 lbs.,"74""",Orthodox,21-Jun-84,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4
Rafael Silva,"5' 7""",135 lbs.,,,20-Mar-85,0.67,0.5,0.73,0.67,0,0,0.25,1
Joaquim Silva,"5' 8""",155 lbs.,"69""",Southpaw,5-Feb-89,3.92,0.37,4.43,0.56,0.24,0.5,0.64,0.7
Felipe Silva,"6' 0""",155 lbs.,"77""",Orthodox,8-May-84,5.4,0.5,1.8,0.59,1,1,0.71,0
Dayana Silva,"5' 7""",135 lbs.,,Orthodox,27-Aug-90,6.33,0.51,5.93,0.57,0,0,0.42,0
Jacob Silva,"5' 5""",125 lbs.,"67""",Orthodox,23-Feb-88,4.17,0.44,4.92,0.56,1.51,1,0.66,0
Gabriel Silva,"5' 6""",135 lbs.,"71""",Orthodox,26-Aug-94,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5
Bruno Silva,"6' 0""",185 lbs.,,,13-Jul-89,0,0,0,0,0,0,0,0
Natalia Silva,"5' 4""",125 lbs.,,,3-Feb-97,0,0,0,0,0,0,0,0
Douglas Silva de Andrade,"5' 7""",145 lbs.,"68""",Orthodox,22-Jun-85,3.77,0.38,4.26,0.58,0.7,0.5,0.66,0
Leonardo Silva de Oliveira,"6' 2""",185 lbs.,,Orthodox,23-Apr-92,1.07,0.4,0.54,0.5,24.11,0.5,0,0
Marcus Silveira,"6' 3""",242 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Jamey Simmons,"5' 6""",145 lbs.,"70""",Orthodox,11-Sep-92,0.52,0.5,2.08,0.5,0,0,1,0
Elias Silverio,"5' 11""",155 lbs.,"73""",Orthodox,22-Sep-86,3.67,0.49,2.97,0.51,1.62,0.38,0.85,0.2
Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,20-Jul-74,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5
Ricky Simon,"5' 6""",135 lbs.,"69""",Orthodox,31-Aug-92,3.08,0.42,3.13,0.64,6.93,0.54,0.72,0.4
Wes Sims,"6' 10""",260 lbs.,,Orthodox,4-Aug-79,0.98,0.51,2.95,0.37,0,0,0.4,2.3
Marlon Sims,,170 lbs.,,,,0,0,0,0,0,0,0,0
Tony Sims,"5' 11""",155 lbs.,"70""",Southpaw,14-Oct-85,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7
Lodune Sincaid,"5' 9""",185 lbs.,,Orthodox,7-May-73,2.72,0.42,6.17,0.57,0,0,0.75,0
Everett Sims,"6' 5""",260 lbs.,"77""",Southpaw,4-Sep-88,0.81,0.66,2.19,0.3,0,0,0.42,1.2
Rob Sinclair,"5' 8""",155 lbs.,,,20-Feb-80,1.2,0.33,1.73,0.73,0,0,0.5,0
Elvis Sinosic,"6' 3""",205 lbs.,"77""",Orthodox,13-Feb-71,1.13,0.37,4.6,0.53,0,0,0,1.2
Mitchell Sipe,"6' 2""",245 lbs.,,Orthodox,9-Apr-96,5.5,0.56,9.98,0.46,1.53,0.2,0,0
Rory Singer,"6' 2""",185 lbs.,"77""",Orthodox,28-May-76,2.55,0.39,2.42,0.63,0.39,0.25,0.64,0.8
AJ Siscoe,"5' 7""",135 lbs.,,,,0,0,0,0,0,0,0,0
Yokthai Sithoar,"5' 7""",143 lbs.,,,25-Dec-74,0,0,0,0,0,0,0,0
Jeri Sitzes,"5' 5""",125 lbs.,,,,0,0,0,0,0,0,0,0
Dennis Siver,"5' 6""",145 lbs.,"70""",Orthodox,13-Jan-79,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3
Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,11-May-85,2.02,0.4,3.35,0.48,1.71,0.34,0.33,2.4
Matt Skelton,"6' 3""",265 lbs.,,Orthodox,23-Jan-67,0,0,0.54,0,0,0,0.66,0
Zach Skinner,"5' 6""",145 lbs.,,Orthodox,,0.53,0.5,2.4,0.32,5,0.27,1,1
Joe Slick,"6' 0""",199 lbs.,,Orthodox,17-Oct-77,0,0,0,0,0,0,0,0
Patrick Smith,"6' 2""",225 lbs.,,Orthodox,28-Aug-63,0,0,0,0,0,0,0,0
Kestutis Smirnovas,"5' 10""",200 lbs.,,Orthodox,,4.95,0.52,5.05,0.54,1.55,0.5,1,1.6
Maurice Smith,"6' 2""",221 lbs.,,Orthodox,13-Dec-61,0.41,0.46,0.47,0.6,0.89,0.5,0.2,0.9
Scott Smith,"6' 0""",185 lbs.,"70""",Orthodox,21-May-79,1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5
Eric Smith,,,,Southpaw,,0,0,0,0,0,0,0,0
Josh Smith,"6' 0""",155 lbs.,,Orthodox,2-Jul-82,0.73,0.28,1.4,0.54,0,0,0.57,2
Adam Smith,,,,,,0,0,0,0,0,0,0,0
Dillon Smith,"6' 0""",170 lbs.,,,,0,0,0,0,0,0,0,0
David Smith,,155 lbs.,,,,0,0,0,0,0,0,0,0
Brian Sleeman,"5' 8""",185 lbs.,,,,4,0.48,1.85,0.7,9.23,1,1,0
Trevor Smith,"6' 3""",185 lbs.,"75""",Orthodox,5-Jan-81,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7
Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,26-Jul-88,2.94,0.46,4.38,0.42,0.49,0.28,0.51,0.7
Colton Smith,"6' 0""",155 lbs.,"71""",Orthodox,14-Aug-87,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4
Ray Sloan,"6' 1""",205 lbs.,,,14-Jul-85,0,0,0,0,0,0,0,0
Gilbert Smith,"5' 9""",185 lbs.,,Southpaw,19-Oct-81,1.09,0.41,2.73,0.35,3.51,0.6,0,1.2
Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,30-Jul-93,5.64,0.55,2.65,0.59,0.74,1,1,0.7
Leslie Smith,"5' 9""",135 lbs.,"66""",Orthodox,17-Aug-82,7.56,0.4,8.41,0.51,0,0,0.62,0
Cole Smith,"5' 11""",135 lbs.,"67""",Orthodox,5-Apr-89,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7
Justin Smitley,,145 lbs.,,,,0,0,0,0,0,0,0,0
Walter Smith-Cotito,"5' 8""",135 lbs.,,,,2.95,0.36,3.53,0.68,2.16,0.33,0.57,0
Nate Smith,"5' 6""",125 lbs.,"69""",Switch,9-Apr-95,1.28,0.38,2.04,0.35,0,0,0.33,2.3
Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,5-Aug-82,1.44,0.42,3.81,0.55,0,0,0.75,0
Louis Smolka,"5' 9""",135 lbs.,"68""",Orthodox,16-Jul-91,4.44,0.46,3.74,0.53,1.84,0.37,0.31,1.9
Richie Smullen,"5' 9""",155 lbs.,"68""",Orthodox,17-Aug-91,1.98,0.77,2.26,0.65,8.49,0.66,0,0
Devin Smyth,"5' 10""",170 lbs.,"72""",Switch,21-Jul-95,2.6,0.68,6.73,0.25,4,0.26,1,0
Denis Sobolev,"6' 3""",216 lbs.,,Orthodox,,0,0,5.45,0.33,0,0,0,0
Renato Sobral,"6' 1""",205 lbs.,"75""",Orthodox,7-Sep-75,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6
Peter Sobotta,"6' 0""",170 lbs.,"75""",Southpaw,11-Jan-87,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5
Rameau Thierry Sokoudjou,"5' 10""",205 lbs.,"78""",Orthodox,18-Apr-84,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9
Joe Solecki,"5' 9""",155 lbs.,"70""",Orthodox,27-Aug-93,3.62,0.74,0.93,0.51,3.31,0.62,0,1.3
Chris Solomon,"5' 11""",155 lbs.,,,,0,0,2.8,0.37,0,0,0.33,0
Paul Song,,185 lbs.,,,,0,0,0,0,0,0,0,0
Joe Son,"5' 4""",236 lbs.,,Orthodox,22-Nov-70,0,0,0,0,0,0,0,0
Chael Sonnen,"6' 1""",205 lbs.,"73""",Southpaw,3-Apr-77,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4
Song Kenan,"6' 0""",170 lbs.,"71""",Orthodox,10-Mar-90,4.39,0.46,4.37,0.54,0,0,0.5,0
Song Yadong,"5' 8""",145 lbs.,"67""",Orthodox,2-Dec-97,4.35,0.42,3.64,0.57,0.59,0.75,0.56,0.4
Cody Sons,"5' 9""",205 lbs.,,,,0,0,0,0,0,0,0,0
Jin Soo Son,"5' 6""",135 lbs.,"69""",Orthodox,1-Apr-93,5.1,0.36,7.63,0.52,1.5,0.25,1,0
Emiliano Sordi,"6' 2""",205 lbs.,,Orthodox,15-Feb-91,4.79,0.5,4.79,0.48,0,0,1,8.3
Punahele Soriano,"5' 11""",185 lbs.,"72""",Southpaw,22-Nov-92,4.46,0.43,2.86,0.52,2.6,0.66,0,0
Sean Soriano,"5' 9""",145 lbs.,,Orthodox,6-Oct-89,3.15,0.61,2.31,0.52,1.27,0.42,0.55,0
Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,6-Jul-89,2.95,0.7,2.53,0.35,3.16,0.66,1,3.2
Ben Sosoli,"6' 0""",265 lbs.,"72""",Southpaw,10-Dec-89,2.31,0.31,4.3,0.47,0,0,0,0
Greg Soto,"5' 11""",170 lbs.,"73""",Orthodox,3-Jun-86,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1
George Sotiropoulos,"5' 10""",155 lbs.,"71""",Orthodox,9-Jul-77,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6
Alex Soto,"5' 8""",135 lbs.,,Southpaw,15-Feb-84,2.95,0.25,5.02,0.59,2.82,0.3,0,0
Krzysztof Soszynski,"6' 1""",205 lbs.,"77""",Open Stance,2-Aug-77,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1
Mario Soto,"6' 0""",145 lbs.,,,,1.43,0.23,5.23,0.42,0,0,0,0
Joe Soto,"5' 6""",135 lbs.,"65""",Orthodox,22-Mar-87,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9
Bobby Southworth,"6' 2""",205 lbs.,,Orthodox,16-Dec-69,0.99,0.39,1.38,0.65,3.98,0.78,0.64,1.3
Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,23-Oct-88,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2
Edimilson Souza,"6' 0""",145 lbs.,"74""",Orthodox,17-Oct-84,4.65,0.44,2.91,0.58,0,0,0.5,0
Chris Spang,"6' 2""",170 lbs.,,Orthodox,26-Nov-87,1.83,0.36,1.95,0.6,0,0,0.5,0.9
Mario Souza,"6' 3""",185 lbs.,"79""",Orthodox,20-Oct-96,3.4,0.6,0.93,0.54,0,0,0,1
Livinha Souza,"5' 3""",115 lbs.,"63""",Orthodox,11-Mar-91,2.06,0.45,3.38,0.62,2.4,0.44,0.4,1.2
Jacare Souza,"6' 1""",185 lbs.,"72""",Orthodox,7-Dec-79,2.53,0.46,2.85,0.62,2.55,0.39,0.6,1.4
Charon Spain,"5' 9""",155 lbs.,,,11-Mar-88,0,0,0,0,0,0,0,0
Andreas Spang,"6' 1""",185 lbs.,,,7-Nov-78,0,0,0,0,0,0,0,0
Ryan Spann,"6' 5""",205 lbs.,"79""",Orthodox,24-Aug-91,3.55,0.45,3.45,0.47,1.72,0.41,0.6,1.7
Tommy Speer,"5' 10""",170 lbs.,"71""",Orthodox,20-Aug-84,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0
Patrick Speight,"6' 1""",170 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Ron Sparks,"6' 5""",265 lbs.,,,,0,0,0,0,0,0,0,0
Sean Spencer,"5' 10""",170 lbs.,"74""",Orthodox,25-Jun-87,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0
Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,29-Nov-90,3.02,0.45,5.57,0.43,0.64,0.1,0.14,0.3
Sam Spengler,"5' 11""",185 lbs.,,Orthodox,,3.27,0.62,3.27,0.54,1.75,0.11,0.75,1.8
Nick Sperling,,135 lbs.,,,,1.4,0.25,1.4,0.66,0,0,0,0
